"KEY_POLICY","EXT_REFR","VALID_FROM","VALID_TO","SALES_DATE","CANCEL_DATE","PAYMENT_STATUS","COMMISSION_RANK","COMMISSION","RAW_CLAWBACK","CLAWBACK"
"260990059","PO0054143770","2024-01-07 00:00:00.000","2025-01-01 00:00:00.000","2024-01-07","2024-02-03","Paid","92",524.64,437.2,437.2
"260990196","PO0054143170","2024-01-07 00:00:00.000","2025-01-01 00:00:00.000","2024-01-07",,"Paid","93",800.04,0,0
"260995977","PO0054162930","2024-03-01 00:00:00.000","2025-03-01 00:00:00.000","2024-01-08",,"Paid","94",832.08,0,0
"260995616","PO0054156340","2024-03-01 00:00:00.000","2025-03-01 00:00:00.000","2024-01-08",,"Paid","95",176.28,0,0
"260995661","PO0054153170","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08","2024-09-01","Paid","96",1270.68,317.67,317.67
"260995799","PO0054161830","2024-01-08 00:00:00.000","2025-01-01 00:00:00.000","2024-01-08",,"Paid","97",365.76,0,0
"260996368","PO0054151130","2024-01-08 00:00:00.000","2025-01-20 00:00:00.000","2024-01-08","2025-01-19","Paid","98",162,-13.5,0
"260996211","PO0054163710","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08",,"Paid","99",639.6,0,0
"260995765","PO0054146340","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-08",,"Paid","100",627.96,0,0
"260995975","PO0054158840","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08",,"Paid","101",103.8,0,0
"260996038","PO0054154930","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08",,"Paid","102",224.4,0,0
"260995613","PO0054152140","2024-01-08 00:00:00.000","2025-01-01 00:00:00.000","2024-01-08",,"Paid","103",646.56,0,0
"260996058","PO0054148510","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08",,"Paid","104",394.2,0,0
"260995949","PO0054148950","2024-02-29 00:00:00.000","2025-02-28 00:00:00.000","2024-01-08",,"Paid","105",650.52,0,0
"260995628","PO0054155040","2024-01-26 00:00:00.000","2025-01-01 00:00:00.000","2024-01-08",,"Paid","106",672.72,0,0
"260996249","PO0054149110","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-08",,"Paid","107",1188,0,0
"260996364","PO0054157610","2024-01-08 00:00:00.000","2025-01-01 00:00:00.000","2024-01-08",,"Paid","108",699,0,0
"260996274","PO0054153460","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-08",,"Paid","109",1240.44,0,0
"260995615","PO0054147990","2024-02-15 00:00:00.000","2025-02-15 00:00:00.000","2024-01-08","2024-08-30","Paid","110",334.2,139.25,139.25
"260995694","PO0054152870","2024-03-01 00:00:00.000","2025-03-01 00:00:00.000","2024-01-08",,"Paid","111",878.52,0,0
"261054271","PO0054172750","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-09",,"Paid","112",112.44,0,0
"261054117","PO0054181240","2024-01-24 00:00:00.000","2025-01-24 00:00:00.000","2024-01-09",,"Paid","113",1195.92,0,0
"261054802","PO0054180170","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","114",1084.32,0,0
"261054872","PO0054179490","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","115",487.68,0,0
"261054421","PO0054172620","2024-01-09 00:00:00.000","2025-01-09 00:00:00.000","2024-01-09","2024-03-27","Paid","116",544.56,408.42,408.42
"261054780","PO0054171550","2024-01-09 00:00:00.000","2025-01-09 00:00:00.000","2024-01-09",,"Paid","117",969.6,0,0
"261053908","PO0054180720","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","118",225.12,0,0
"261054077","PO0054181610","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","119",304.56,0,0
"261054673","PO0054182310","2024-01-10 00:00:00.000","2025-01-10 00:00:00.000","2024-01-09",,"Paid","120",811.44,0,0
"261054601","PO0054182110","2024-01-09 00:00:00.000","2025-01-09 00:00:00.000","2024-01-09",,"Paid","121",793.44,0,0
"261054605","PO0054182040","2024-01-22 00:00:00.000","2025-01-22 00:00:00.000","2024-01-09",,"Paid","122",1030.92,0,0
"261054571","PO0054180150","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-09",,"Paid","123",2203.68,0,0
"261054669","PO0054180840","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","124",84.36,0,0
"261053973","PO0054182710","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","125",223.68,0,0
"261054440","PO0054166320","2024-01-09 00:00:00.000","2025-01-09 00:00:00.000","2024-01-09",,"Paid","126",952.2,0,0
"261054009","PO0054171580","2024-01-09 00:00:00.000","2025-01-01 00:00:00.000","2024-01-09",,"Paid","127",157.8,0,0
"261054048","PO0054173650","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-09",,"Paid","128",934.56,0,0
"261101682","PO0054191110","2024-01-18 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","129",381.12,0,0
"261102415","PO0054201860","2024-01-13 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","130",1713.24,0,0
"261102201","PO0054188930","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","131",358.92,0,0
"261102212","PO0054191840","2024-02-18 00:00:00.000","2025-02-18 00:00:00.000","2024-01-10",,"Paid","132",893.28,0,0
"261101917","PO0054201510","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","133",119.76,0,0
"261102394","PO0054198660","2024-01-17 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","134",460.44,0,0
"261101991","PO0054190850","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-10",,"Paid","135",576.48,0,0
"261102280","PO0054187440","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-10",,"Paid","136",502.8,0,0
"261101870","PO0054201260","2024-01-10 00:00:00.000","2025-01-10 00:00:00.000","2024-01-10",,"Paid","137",500.4,0,0
"261101720","PO0054188810","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","138",251.16,0,0
"261102419","PO0054186530","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","139",516,0,0
"261102284","PO0054185760","2024-01-10 00:00:00.000","2025-01-10 00:00:00.000","2024-01-10",,"Paid","140",299.16,0,0
"261102240","PO0054196590","2024-02-25 00:00:00.000","2025-02-01 00:00:00.000","2024-01-10","2024-04-02","Paid","141",686.4,514.8,514.8
"261102104","PO0054201550","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","142",89.4,0,0
"261102404","PO0054194940","2024-01-10 00:00:00.000","2025-01-01 00:00:00.000","2024-01-10",,"Paid","143",188.04,0,0
"261132256","PO0054217240","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","144",859.08,0,0
"261132501","PO0054216810","2024-01-12 00:00:00.000","2025-01-12 00:00:00.000","2024-01-11","2024-01-22","Paid","145",519.24,475.97,475.97
"261131899","PO0054210780","2024-01-17 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","146",317.4,0,0
"261132276","PO0054206960","2024-02-13 00:00:00.000","2025-02-13 00:00:00.000","2024-01-11",,"Paid","147",439.32,0,0
"261132441","PO0054204490","2024-01-13 00:00:00.000","2025-01-13 00:00:00.000","2024-01-11",,"Paid","148",875.76,0,0
"261132298","PO0054222610","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","149",265.92,0,0
"262096463","PO0054211710","2024-05-17 00:00:00.000","2025-05-01 00:00:00.000","2024-01-11","2024-07-24","Paid","150",632.52,474.39,474.39
"261132473","PO0054210820","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","151",105.12,0,0
"261131762","PO0054213630","2024-01-11 00:00:00.000","2025-01-11 00:00:00.000","2024-01-11","2024-08-07","Paid","152",210.84,70.28,70.28
"261131986","PO0054218310","2024-01-10 00:00:00.000","2025-01-10 00:00:00.000","2024-01-11",,"Paid","153",363.12,0,0
"261132278","PO0054207300","2024-01-11 00:00:00.000","2025-01-11 00:00:00.000","2024-01-11","2024-09-11","Paid","154",1432.32,358.08,358.08
"261132244","PO0054222120","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11","2024-04-17","Paid","155",267,178,178
"261131619","PO0054206680","2024-01-11 00:00:00.000","2025-01-11 00:00:00.000","2024-01-11",,"Paid","156",31.44,0,0
"261131929","PO0054215830","2024-01-11 00:00:00.000","2025-01-11 00:00:00.000","2024-01-11",,"Paid","157",415.92,0,0
"261131928","PO0054211440","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","158",315.12,0,0
"262096993","PO0054211730","2024-05-11 00:00:00.000","2025-05-01 00:00:00.000","2024-01-11",,"Paid","159",99.6,0,0
"261132172","PO0054207920","2024-09-01 00:00:00.000","2025-09-01 00:00:00.000","2024-01-11",,"Paid","160",701.76,0,0
"261130869","PO0040491160","2024-01-11 20:15:16.000","2024-03-01 00:00:00.000","2024-01-11",,"Paid","161",237.84,0,0
"261131792","PO0054214880","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11","2024-06-20","Paid","162",909.12,454.56,454.56
"261132048","PO0054221360","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","163",336.12,0,0
"261132184","PO0054217560","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","164",272.88,0,0
"261131872","PO0054221500","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","165",348.12,0,0
"261434335","PO0054209500","2024-01-25 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","166",240.12,0,0
"261132074","PO0054219660","2024-01-11 00:00:00.000","2025-01-11 00:00:00.000","2024-01-11",,"Paid","167",34.08,0,0
"261132058","PO0054217650","2024-01-11 00:00:00.000","2025-01-01 00:00:00.000","2024-01-11",,"Paid","168",223.68,0,0
"261160447","PO0054226070","2024-01-24 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","169",580.08,0,0
"261161247","PO0054237490","2024-01-22 00:00:00.000","2025-01-22 00:00:00.000","2024-01-12",,"Paid","170",1080.72,0,0
"261160886","PO0054225390","2024-01-12 00:00:00.000","2025-01-12 00:00:00.000","2024-01-12",,"Paid","171",75.96,0,0
"261160444","PO0054238980","2024-01-12 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12","2024-02-09","Paid","172",227.76,189.8,189.8
"261161113","PO0054227990","2024-01-12 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","173",268.92,0,0
"261160881","PO0054229900","2024-01-14 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12","2024-04-26","Paid","174",411.12,274.08,274.08
"261160869","PO0054231850","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-12",,"Paid","175",486.36,0,0
"261160988","PO0054237940","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-12",,"Paid","176",381.36,0,0
"261160773","PO0054232280","2024-01-12 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","177",360.24,0,0
"261160556","PO0054233840","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","178",258.84,0,0
"261160930","PO0054230220","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","179",823.92,0,0
"261160403","PO0054234330","2024-01-12 00:00:00.000","2025-01-01 00:00:00.000","2024-01-12",,"Paid","180",431.64,0,0
"261160693","PO0054238370","2024-01-12 00:00:00.000","2025-01-12 00:00:00.000","2024-01-12",,"Paid","181",1157.76,0,0
"261160502","PO0054229640","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-12",,"Paid","182",713.4,0,0
"261192984","PO0054242920","2024-01-14 00:00:00.000","2025-01-01 00:00:00.000","2024-01-13","2024-03-24","Paid","183",303.12,227.34,227.34
"261192057","PO0054242420","2024-01-13 00:00:00.000","2025-01-01 00:00:00.000","2024-01-13",,"Paid","184",50.88,0,0
"261192783","PO0054243400","2024-01-13 00:00:00.000","2025-01-01 00:00:00.000","2024-01-13",,"Paid","185",316.2,0,0
"261192562","PO0054243130","2024-01-13 00:00:00.000","2025-01-13 00:00:00.000","2024-01-13","2024-08-01","Paid","186",405.96,135.32,135.32
"261192590","PO0054244710","2024-04-01 00:00:00.000","2025-04-01 00:00:00.000","2024-01-13",,"Paid","187",329.64,0,0
"261192058","PO0054246370","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-14",,"Paid","188",167.4,0,0
"261193024","PO0054246390","2024-01-14 00:00:00.000","2025-01-01 00:00:00.000","2024-01-14",,"Paid","189",549.12,0,0
"261192236","PO0054245370","2023-10-23 00:00:00.000","2024-10-23 00:00:00.000","2024-01-14",,"Paid","190",195.72,0,0
"261192329","PO0054245810","2024-01-18 00:00:00.000","2025-01-01 00:00:00.000","2024-01-14",,"Paid","191",383.04,0,0
"261256950","PO0054263480","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-15",,"Paid","192",256.8,0,0
"261256966","PO0054267330","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-15",,"Paid","193",707.76,0,0
"261256322","PO0054260950","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-15",,"Paid","194",303.12,0,0
"261256531","PO0054255180","2024-01-25 00:00:00.000","2025-01-25 00:00:00.000","2024-01-15",,"Paid","195",751.44,0,0
"261256419","PO0054254940","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-15",,"Paid","196",614.88,0,0
"261256100","PO0054263590","2024-02-10 00:00:00.000","2025-02-01 00:00:00.000","2024-01-15",,"Paid","197",459.84,0,0
"261256926","PO0054265680","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-15",,"Paid","198",643.68,0,0
"261373666","PO0054261040","2024-01-16 00:00:00.000","2025-01-16 00:00:00.000","2024-01-15",,"Paid","199",1385.04,0,0
"261256943","PO0054262970","2024-08-04 00:00:00.000","2025-08-01 00:00:00.000","2024-01-15",,"Paid","200",498.12,0,0
"261257095","PO0054266270","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-15",,"Paid","201",735.96,0,0
"261256862","PO0054266550","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-15",,"Paid","202",513.48,0,0
"261256849","PO0054266530","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-15",,"Paid","203",4053.6,0,0
"261256060","PO0054254220","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-15",,"Paid","204",304.44,0,0
"261256036","PO0054263020","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-15",,"Paid","205",561.24,0,0
"261256136","PO0054260130","2024-01-15 00:00:00.000","2025-01-15 00:00:00.000","2024-01-15",,"Paid","206",161.88,0,0
