"Key_SS_Org","Fld_Rep_Cd","Org_Lvl_cd","Org_Lvl_Nm"
"1147575","XSEIB-9","IB","Inbound"
"3908237","EAMREB-4","OB","Outbound"
"3790228","RAMZAM-8","OB","Outbound"
"3790206","34229VD-8","IB","Inbound"
"3790633","IMEAHT-2","OB","Outbound"
"4578289","YLLIB-8","IB","Inbound"
"3880488","BAFRON-6","OB","Outbound"
"501601","VUTHOJ-7","IB","Inbound"
"588386","NADGNE-6","IB","Inbound"
"513534","AOSREP-9","IB","Inbound"
"3790399","HOJGOH-4","IB","Inbound"
"3967144","EMENUS-3","OB","Outbound"
"502962","ANAREB-0","IB","Inbound"
"3789745","ABJAKX-7","OB","Outbound"
"4234881","LEHRRO-4","IB","Inbound"
"3821506","ASITUR-3","IB","Inbound"
"3703486","CAJLYB-0","OB","Outbound"
"4574988","CDLIB-6","IB","Inbound"
"4558897","VONERD-8","OB","Outbound"
"490244","LEFIB-6","IB","Inbound"
"4442722","LLOIKS-7","OB","Outbound"
"3248616","AAMOJB-1","OB","Outbound"
"3790376","CAMRAK-3","OB","Outbound"
"4872292","BERLOH-5","IB","Inbound"
"4289952","LITLEM-3","IB","Inbound"
"4120083","EONLES-5","OB","Outbound"
"3855359","JSKIB-7","IB","Inbound"
"4539451","AAHGAM-4","IB","Inbound"
"3790302","CAJTSO-1","IB","Inbound"
"4647864","BIOWL-2","IB","Inbound"
"4555625","LLENAC-9","OB","Outbound"
"3790058","17129-1","IB","Inbound"
"3895814","VOAIB-1","IB","Inbound"
"2132602","VOTEKA-5","IB","Inbound"
"4694612","NAHERF-6","OB","Outbound"
"3967139","EXADNA-1","OB","Outbound"
"3815149","DLEDNA-9","OB","Outbound"
"4942961","AILOJB-7","OB","Outbound"
"3790078","SIWGLA-1","OB","Outbound"
"3790147","ASIRES-7","OB","Outbound"
"3790721","AAMJOR-2","OB","Outbound"
"501284","CIVLIN-1","IB","Inbound"
"4215671","15329VD-1","IB","Inbound"
"3789845","AAPNEB-6","IB","Inbound"
"3790344","DAMEDE-0","IB","Inbound"
"4949772","96229VD-8","IB","Inbound"
"3790511","JAMLAW-7","IB","Inbound"
"4215669","59229VD-7","IB","Inbound"
"2832442","AMATON-6","IB","Inbound"
"3790665","IOJNIL-8","IB","Inbound"
"3789773","BOJDNA-7","IB","Inbound"
"3945426","OAMNIL-4","IB","Inbound"
"4949770","02229VD-2","IB","Inbound"
"4555630","61429VD-9","IB","Inbound"
"4664339","BERLOH-6","IB","Inbound"
"3789841","OELATS-0","IB","Inbound"
"504223","ALATEP-9","IB","Inbound"
"1180373","53229VD-7","IB","Inbound"
"966899","FNATSO-8","IB","Inbound"
"3790279","17229VD-2","IB","Inbound"
"3790416","SACOJB-2","OB","Outbound"
"1602355","BIKVR-2","IB","Inbound"
"517086","NITVKO-4","IB","Inbound"
"3041173","YSSIB-3","IB","Inbound"
"4439522","KIVTES-7","IB","Inbound"
"493222","BORPAW-8","IB","Inbound"
"491556","RHCUJL-5","IB","Inbound"
"2183837","NILNAT-5","IB","Inbound"
"2536186","73329VD-2","IB","Inbound"
"3023853","LAOIB-1","IB","Inbound"
"4120082","LLENAC-9","OB","Outbound"
"4120067","OEGSKA-9","OB","Outbound"
"3703482","UOYAHK-5","OB","Outbound"
"2199330","CIVLAK-7","IB","Inbound"
"4885799","NEVLAM -2","OB","Outbound"
"1165124","FLLIB-9","IB","Inbound"
"2649597","SAJSOC-0","IB","Inbound"
"4139870","ELAGHO-9","OB","Outbound"
"4644558","97329VD-6","IB","Inbound"
"2016252","DINIB-6","IB","Inbound"
"3790670","TAMIRG-7","OB","Outbound"
"3789776","IMEUJB-1","PP","Branch Office"
"4647863","PNJIB-1","IB","Inbound"
"3790722","LLOSLO-7","OB","Outbound"
"1775760","BNTIB-4","IB","Inbound"
"4277087","CINKAJ-6","IB","Inbound"
"4647861","BKTIB-5","IB","Inbound"
"493249","AEBNUR-7","IB","Inbound"
"3821516","SSOOLO-8","IB","Inbound"
"4942954","AAKARG-0","OB","Outbound"
"4558896","TAMGAL-0","OB","Outbound"
"3821505","NIMOJB-4","IB","Inbound"
"3789997","62129-4","IB","Inbound"
"3790751","59329VD-5","IB","Inbound"
"4664343","ASIRES-6","Oth","Other"
"2619701","NAHLAS-1","IB","Inbound"
"4165120","AAMLEH-2","IB","Inbound"
"4209342","BINJB-2","IB","Inbound"
"3821514","NGAHAD-1","IB","Inbound"
"3790039","NAHERF-6","OB","Outbound"
"4238189","BIAEZ-2","IB","Inbound"
"3789903","HOJNEM-5","IB","Inbound"
"550931","NORDEA-2","NB","WildWest"
"516864","LLERAC-6","IB","Inbound"
"3948538","AAKARG-0","OB","Outbound"
"3868170","9RMIB-8","IB","Inbound"
"3707048","NAHBYR-2","IB","Inbound"
"3790062","AHPHCS-7","IB","Inbound"
"497284","EHTLSA-1","IB","Inbound"
"3041179","OECIB-3","IB","Inbound"
"3855374","XSANKR-2","OB","Outbound"
"500107","8EJIB-0","IB","Inbound"
"3790190","RAMSUG-9","OB","Outbound"
"3790476","NADMEM-4","OB","Outbound"
"1147586","VTAIB-4","IB","Inbound"
"4098413","23229VD-0","IB","Inbound"
"507169","RALRAK-5","IB","Inbound"
"1796087","FOTIB-8","IB","Inbound"
"3009545","YMMIB-6","IB","Inbound"
"3789888","42808-4","PP","Branch Office"
"4687660","ANDDEN-3","IB","Inbound"
"4558881","MLAROB-0","OB","Outbound"
"3790234","NNABOM-5","IB","Inbound"
"4714806","TAPARF-9","IB","Inbound"
"4558898","AEFEVS-2","OB","Outbound"
"3821503","LOTANO-8","IB","Inbound"
"3790747","ADAHOJ-4","OB","Outbound"
"3790318","BILRAK-3","OB","Outbound"
"3790451","KINHAD-3","OB","Outbound"
"3790379","RIMCAM-5","OB","Outbound"
"3979941","UALNUS-4","IB","Inbound"
"512026","LEFGNE-4","IB","Inbound"
"5020751","BIKYB-2","IB","Inbound"
"4098416","89229VD-6","IB","Inbound"
"4254901","VLAVAC-9","OB","Outbound"
"4442720","LENBAR-1","OB","Outbound"
"550932","NORDEA-3","NB","WildWest"
"503589","NNACET-2","OB","Outbound"
"499961","AAMGNE-5","IB","Inbound"
"3855381","SFBIB-6","IB","Inbound"
"4555620","DILLIN-6","OB","Outbound"
"515360","COJNIL-3","IB","Inbound"
"4558894","VEKHAD-5","OB","Outbound"
"496951","EGKAS-0","CV","Partner"
"4098419","64329VD-5","IB","Inbound"
"2383362","ELARAC-5","IB","Inbound"
"4098420","25329VD-3","IB","Inbound"
"4254885","TSASLO-0","IB","Inbound"
"1342880","FEMIB-7","IB","Inbound"
"3789629","VOLNUL-2","IB","Inbound"
"4215673","46329VD-1","IB","Inbound"
"3790645","NADRAK-1","IB","Inbound"
"4905918","VONHAD-5","IB","Inbound"
"4664348","ASISLO-4","IB","Inbound"
"4149341","SUGSAW-2","OB","Outbound"
"3789830","NAHRTS-8","OB","Outbound"
"3790498","ILAPAY-1","IB","Inbound"
"3790733","DEMARI-0","OB","Outbound"
"3790730","DOJNUL-7","OB","Outbound"
"3140083","EMEDNA-9","IB","Inbound"
"3041177","AMARIP-6","OB","Outbound"
"984249","RASNEB-6","IB","Inbound"
"3790463","IRERBA-6","OB","Outbound"
"614518","TSASLO-7","IB","Inbound"
"511224","ELATIM-1","IB","Inbound"
"3707049","IRKIAR-0","IB","Inbound"
"3790413","SVEANG-2","PP","Branch Office"
"497470","OTUA-9","GR","Group"
"4574994","BYKIB-2","IB","Inbound"
"4818763","BUGRON-6","OB","Outbound"
"4270645","RALRAK-1","IB","Inbound"
"3790392","SEJSAK-4","OB","Outbound"
"4574983","NILWIL-3","IB","Inbound"
"3960932","CAJLHA-6","OB","Outbound"
"4581606","DERAHL-2","IB","Inbound"
"4139872","BORMAH-4","OB","Outbound"
"514975","HEBKAR-4","IB","Inbound"
"4818765","MIJROM-6","OB","Outbound"
"3790474","SUHCAK-6","OB","Outbound"
"3790421","NADNEW-5","OB","Outbound"
"502674","AS2IB-4","IB","Inbound"
"4420430","AVIDEH-4","OB","Outbound"
"2649601","DMEREB-1","IB","Inbound"
"4417203","IEZHAD-3","OB","Outbound"
"3790445","QSSIB-9","IB","Inbound"
"3789992","LEHFLE-0","IB","Inbound"
"560562","CHMIB-0","IB","Inbound"
"3790710","78329VD-7","IB","Inbound"
"4215696","XAMRON-3","OB","Outbound"
"4578320","9LSIB-2","IB","Inbound"
"3855366","RGMIB-4","IB","Inbound"
"3790426","ADADNA-2","IB","Inbound"
"3790632","LITARG-2","OB","Outbound"
"4277091","ERFHAD-9","IB","Inbound"
"4885800","EMAILA-3","OB","Outbound"
"3855376","BBLIB-8","IB","Inbound"
"4687658","VEKHAD-1","OB","Outbound"
"2327499","CINLAV-5","IB","Inbound"
"4215684","DILLIN-8","OB","Outbound"
"3790745","EHTHAD-6","OB","Outbound"
"3790756","AGARON-1","OB","Outbound"
"3790708","FARIB-1","IB","Inbound"
"4574984","KFLIB-2","IB","Inbound"
"588416","ERFLAH-3","IB","Inbound"
"4597944","XAMLAD-3","IB","Inbound"
"1446602","AAMRAC-6","IB","Inbound"
"4165063","90429VD-7","IB","Inbound"
"554468","TIBIB-2","IB","Inbound"
"3790149","12229VD-0","IB","Inbound"
"4215686","JACEJD-7","OB","Outbound"
"3790329","71329VD-2","IB","Inbound"
"3790678","LEFAKS-0","IB","Inbound"
"491520","JSUAK-7","CV","Partner"
"1311459","CLCIB-4","IB","Inbound"
"493326","BCLIB-4","IB","Inbound"
"3789864","GNIRAL-2","IB","Inbound"
"4885795","OENSEW-0","OB","Outbound"
"3821510","AIMSUG-7","IB","Inbound"
"3790342","SAMSAM-5","OB","Outbound"
"4417192","LIWEJT-0","OB","Outbound"
"3821497","ILARTS-4","IB","Inbound"
"4190442","ERKKEZ-1","OB","Outbound"
"4942958","MLAROB-4","OB","Outbound"
"4417182","MLAROB-1","OB","Outbound"
"3926889","HAMTEP-6","OB","Outbound"
"3973793","AEFNIL-1","OB","Outbound"
"3790486","TAPARF-9","IB","Inbound"
"3041166","ETBIB-8","IB","Inbound"
"4558884","EMERYH-8","OB","Outbound"
"3789914","90919-9","IB","Inbound"
"4258085","CAMRAK-8","IB","Inbound"
"502686","DHCEVI-3","IB","Inbound"
"3790154","71229VD-8","IB","Inbound"
"4254895","KIVTES-5","IB","Inbound"
"4578294","DAWHAD-7","IB","Inbound"
"4555639","71429VD-8","IB","Inbound"
"2663375","QKSIB-9","IB","Inbound"
"3041192","AAHNAJ-6","OB","Outbound"
"4872298","ANDDEN-3","IB","Inbound"
"3846247","FCEIB-4","IB","Inbound"
"3790053","RAMYRF-7","OB","Outbound"
"4417196","BOTCIN-6","OB","Outbound"
"3790458","HNAHOJ-0","OB","Outbound"
"4174589","LESRAB-4","OB","Outbound"
"3790497","ELAARG-4","IB","Inbound"
"5020750","BIRPC-2","IB","Inbound"
"4919326","LILELL-2","OB","Outbound"
"4942955","NEHGAM-6","OB","Outbound"
"4818759","ASIAJB-7","OB","Outbound"
"4420435","REHNAN-1","OB","Outbound"
"5013944","BINGY-3","IB","Inbound"
"490288","GUBIB-8","IB","Inbound"
"5044546","RALRAK-7","IB","Inbound"
"614519","AIPUER-9","IB","Inbound"
"875987","AASNIL-5","OB","Outbound"
"4161817","LESRAB-7","OB","Outbound"
"3790031","CGDIB-1","IB","Inbound"
"3790723","29329VD-0","IB","Inbound"
"2646877","UEMIB-5","IB","Inbound"
"4420431","CULEID-8","OB","Outbound"
"3789646","LSMIB-1","IB","Inbound"
"792112","RASYZS-4","OB","Outbound"
"3821515","KAJGUA-8","IB","Inbound"
"3840069","AVEBIR-8","IB","Inbound"
"4574996","81429VD-8","IB","Inbound"
"4439521","RASNEB-5","IB","Inbound"
"2241023","ABENIL-9","IB","Inbound"
"4168287","31429VD-0","IB","Inbound"
"4120069","REBUZD-8","OB","Outbound"
"3041196","16329VD-8","IB","Inbound"
"4558888","BAFORB-6","OB","Outbound"
"3790726","KIVEKA-5","OB","Outbound"
"3855384","PNJIB-5","IB","Inbound"
"4818764","OELAVS-2","OB","Outbound"
"3499808","98329VD-0","IB","Inbound"
"3041165","IMGIB-8","IB","Inbound"
"3790660","SANHAM-2","OB","Outbound"
"3790131","NASEDE-7","OB","Outbound"
"3703468","RDALOH-4","OB","Outbound"
"-99","Unknown","Unknown","Unknown"
"4919320","CINLAV-3","OB","Outbound"
"4939592","NILAAH-7","IB","Inbound"
"3821511","MMENRE-2","IB","Inbound"
"580796","LEHRRO-6","IB","Inbound"
"497927","WUSYS-4","PP","Branch Office"
"612424","RAMNOR-4","IB","Inbound"
"4190453","SACNUL-5","OB","Outbound"
"2649595","34329VD-6","IB","Inbound"
"4360149","LOBCHR-2","IB","Inbound"
"4130606","ELBNAS-3","OB","Outbound"
"3790482","JACELK-3","IB","Inbound"
"4254907","UOYDAD-8","OB","Outbound"
"4885798","BLETSO-1","OB","Outbound"
"516837","BKTIB-2","IB","Inbound"
"3790499","BDARAK-8","OB","Outbound"
"4165060","DHDIB-8","IB","Inbound"
"2793335","BNARAK-2","OB","Outbound"
"4942956","MMESLO-3","OB","Outbound"
"588382","FOSPOT-9","IB","Inbound"
"4215672","06329VD-6","IB","Inbound"
"3061529","NNAATS-1","IB","Inbound"
"3216114","NADNIW-2","PP","Branch Office"
"3336696","SAMRAP-2","OB","Outbound"
"3789753","SIORCX-1","OB","Outbound"
"3793832","MOHJON-2","OB","Outbound"
"4539458","SHAHOM-2","IB","Inbound"
"4558889","HOMHOM-9","OB","Outbound"
"3790740","UOYDAD-3","OB","Outbound"
"3815151","BLAEVS-6","OB","Outbound"
"508767","ANAROF-4","IB","Inbound"
"3041188","MHFIB-0","IB","Inbound"
"503544","MAHNAW-7","IB","Inbound"
"3855375","EENIB-5","IB","Inbound"
"504221","NORDOS-2","IB","Inbound"
"4765349","TSASLO-3","IB","Inbound"
"3703478","LENNAZ-5","OB","Outbound"
"4885790","NADARD-1","OB","Outbound"
"3789896","LAREBX-2","OB","Outbound"
"2243668","NORLDE-9","IB","Inbound"
"943802","BBEKNA-6","IB","Inbound"
"3703480","ILEEKA-9","OB","Outbound"
"4574990","HMSIB-8","IB","Inbound"
"4098415","78229VD-4","IB","Inbound"
"2238377","BAGROC-4","IB","Inbound"
"3865064","XSVEAL-3","OB","Outbound"
"4254897","BAGROC-7","IB","Inbound"
"497547","FLUILK-3","IB","Inbound"
"4919332","TAMLUZ-8","IB","Inbound"
"4161821","AMARIP-4","OB","Outbound"
"3790718","MAHLAP-6","OB","Outbound"
"517592","VHMIB-8","IB","Inbound"
"517661","TSOBOR-6","IB","Inbound"
"3790430","JAMMDE-9","IB","Inbound"
"3790102","TNAREK-1","IB","Inbound"
"515200","HOSKAS-3","OB","Outbound"
"4555621","ADINAS-7","OB","Outbound"
"3951696","MULOKS-4","IB","Inbound"
"1184698","03229VD-1","IB","Inbound"
"3821495","BNAREB-1","IB","Inbound"
"3790420","51329VD-6","IB","Inbound"
"4420433","LEFLAF-1","OB","Outbound"
"3790477","LILELL-2","IB","Inbound"
"598175","DKSIB-4","IB","Inbound"
"4215676","59329VD-6","IB","Inbound"
"4558892","AMAROF-3","OB","Outbound"
"4591438","JOHEMA-2","IB","Inbound"
"2832445","AOMDUR-7","IB","Inbound"
"490536","AWEROS-6","PP","Branch Office"
"3041194","55329VD-3","IB","Inbound"
"4671006","VONHAD-0","IB","Inbound"
"792118","SILNUL-4","OB","Outbound"
"503536","TIRNAP-6","IB","Inbound"
"4949775","00429VD-6","IB","Inbound"
"3846230","BORAMA-2","IB","Inbound"
"4190438","NOJEVS-6","OB","Outbound"
"506830","NADMUD-6","IB","Inbound"
"873901","ANINIL-6","OB","Outbound"
"3038128","GUHCIW-9","OB","Outbound"
"4289954","NOJLIM-6","IB","Inbound"
"3041178","65329VD-1","IB","Inbound"
"4289956","HOJIEL-6","IB","Inbound"
"4420428","ASIPEJ-4","OB","Outbound"
"498794","TNMIB-5","IB","Inbound"
"3790668","NOJQDO-7","OB","Outbound"
"4165108","KGAIB-2","IB","Inbound"
"4644563","BIEDC-2","IB","Inbound"
"3967138","CIRSEW-0","OB","Outbound"
"3908239","MLANAM-4","OB","Outbound"
"3771157","BERLOH-1","IB","Inbound"
"4574997","YAMIRE-5","IB","Inbound"
"3789686","ELAARF-7","PP","Branch Office"
"3789823","NASLOK-5","PP","Branch Office"
"4584885","BIAJD-4","IB","Inbound"
"4818761","ASINOB-3","OB","Outbound"
"3790634","CAJLUC-0","OB","Outbound"
"3855373","ILEOHT-2","OB","Outbound"
"4694641","BIAJD-5","IB","Inbound"
"2646876","TNANEH-6","IB","Inbound"
"516765","BERALA-2","PP","Branch Office"
"853288","IEROJS-9","IB","Inbound"
"1616573","CULERB-3","OB","Outbound"
"3790518","AOMROF-0","IB","Inbound"
"-2","OTUA-5","OV","Head Office"
"516042","TRCIB-8","IB","Inbound"
"497138","NAHAAL-7","IB","Inbound"
"4539455","DYLREB-1","IB","Inbound"
"3790720","FAMRON-5","OB","Outbound"
"3789989","MMEDEH-4","Oth","Other"
