"Key_SS_Org","Fld_Rep_Cd","Org_Lvl_cd","Org_Lvl_Nm"
"493043","AILLAK-1","IB","Inbound"
"2619752","ALKJTS-4","IB","Inbound"
"1018937","DYLREB-3","IB","Inbound"
"500237","VJAIB-2","CV","Partner"
"3790168","SACLOZ-6","OB","Outbound"
"3821502","BESARB-5","IB","Inbound"
"504326","MARRAB-7","IB","Inbound"
"4761747","XMARAN-2","IB","Inbound"
"516132","LLARHE-1","IB","Inbound"
"2646878","BSIRAH-6","IB","Inbound"
"2023723","SANGUB-2","OB","Outbound"
"3790268","LILRON-8","IB","Inbound"
"4289957","RASCAB-8","IB","Inbound"
"4270652","TACGNE-1","Oth","Other"
"2383330","BOTHOJ-0","IB","Inbound"
"3790127","AEDKUB-6","OB","Outbound"
"492960","BOMRAL-8","PP","Branch Office"
"4098409","36129-2","IB","Inbound"
"3948541","ADISEW-3","OB","Outbound"
"2832444","ASISLO-8","IB","Inbound"
"4885792","BLEREB  -2","OB","Outbound"
"4885791","RACVLA-3","OB","Outbound"
"847109","QHJIB-3","IB","Inbound"
"4949776","59329VD-9","IB","Inbound"
"4558883","MYMSLO-0","OB","Outbound"
"4254906","NILNOJ-9","OB","Outbound"
"4949777","69329VD-3","IB","Inbound"
"4280259","YOMIB-0","Oth","Other"
"3790460","DAMKAM-2","OB","Outbound"
"3790637","AMESUG-3","IB","Inbound"
"2059322","59229VD-5","IB","Inbound"
"3790352","XMARAN-2","IB","Inbound"
"4578288","JAMSIG-4","IB","Inbound"
"3790510","MARMLA-0","IB","Inbound"
"4215667","17229VD-2","IB","Inbound"
"2701694","HERSOF-2","IB","Inbound"
"3790140","AUSDEH-0","IB","Inbound"
"4919333","JAMSIG-6","IB","Inbound"
"4942953","LIWRAL-8","OB","Outbound"
"3815159","VADGAM-2","OB","Outbound"
"4758392","BAGROC-5","IB","Inbound"
"4280284","GASHAS-8","IB","Inbound"
"4818756","MMEETS-6","OB","Outbound"
"853284","AREGNE-0","IB","Inbound"
"3908240","CSOTEP-8","OB","Outbound"
"3908238","LLESYL-8","OB","Outbound"
"4254914","RACOLO-1","IB","Inbound"
"498340","FOSGAD-7","IB","Inbound"
"4254904","LLEIRE-7","OB","Outbound"
"497426","VNOK-8","GR","Group"
"3789751","ARKKIW-5","PP","Branch Office"
"2812981","BDJIB-6","IB","Inbound"
"4575009","VONEWS-8","IB","Inbound"
"3790424","REPRON-4","IB","Inbound"
"3790681","KULREB-1","IB","Inbound"
"4885796","LUJWOL -2","OB","Outbound"
"3790478","TNAUAP-3","OB","Outbound"
"4130608","ADINAS-5","OB","Outbound"
"2401951","ORJIB-1","IB","Inbound"
"3790496","CIVRTS-4","OB","Outbound"
"3790531","POAIB-4","IB","Inbound"
"4254902","LLOSLO-9","OB","Outbound"
"2879905","CJRIB-1","IB","Inbound"
"517356","BNAHOJ-8","IB","Inbound"
"3789850","AROLFX-5","OB","Outbound"
"3625164","10429VD-0","IB","Inbound"
"526071","KBRIB-1","IB","Inbound"
"3041180","ADANOJ-6","OB","Outbound"
"4280263","VHMIB-0","Oth","Other"
"2849126","CMLIB-7","IB","Inbound"
"4302768","AEDKUB-7","Oth","Other"
"4558885","REVGAH-4","OB","Outbound"
"4885794","LIWIRF-7","OB","Outbound"
"4215674","09329VD-3","IB","Inbound"
"4417207","IRKHAD-6","OB","Outbound"
"4254916","BKFIB-6","CV","Partner"
"4215666","14229VD-7","IB","Inbound"
"3790340","CILNIL-5","IB","Inbound"
"4734934","ASISLO-0","IB","Inbound"
"4280278","NGATSO-8","IB","Inbound"
"3140076","MMEGAM-9","IB","Inbound"
"4254903","LENNAZ-5","OB","Outbound"
"3790481","CRENIL-0","OB","Outbound"
"873915","HANSAK-7","OB","Outbound"
"3790735","NILNOJ-2","OB","Outbound"
"496764","MACEVS-7","IB","Inbound"
"3790186","LAMTEP-6","IB","Inbound"
"3790628","ENGELS-2","IB","Inbound"
"4215665","53229VD-8","IB","Inbound"
"4555623","EMADJA-7","OB","Outbound"
"4254889","RASNEB-8","IB","Inbound"
"495345","5432NI-5","II","Internet"
"3789873","abiib-3","IB","Inbound"
"3707070","BDILOM-7","IB","Inbound"
"4289955","KULGER-2","IB","Inbound"
"3790646","TANNAS-9","IB","Inbound"
"3836909","FBHIB-2","IB","Inbound"
"3992380","LIWRAL-0","OB","Outbound"
"4574992","EXANAK-9","IB","Inbound"
"4098414","87229VD-0","IB","Inbound"
"4215687","EMADJA-7","OB","Outbound"
"4558882","KSOLOH-6","OB","Outbound"
"3939177","IRBONI-9","IB","Inbound"
"3790048","57129-4","IB","Inbound"
"3948542","MMESLO-8","OB","Outbound"
"3821504","AHCSLO-9","IB","Inbound"
"3992382","SUGPSA-6","OB","Outbound"
"4270648","TIRNIL-4","Oth","Other"
"4054557","SANADA-2","OB","Outbound"
"581077","HOJGAH-5","IB","Inbound"
"4442718","MAHRAB-2","OB","Outbound"
"4270646","AOSREP-9","Oth","Other"
"560558","RASYRB-0","IB","Inbound"
"4574995","GCAIB-3","IB","Inbound"
"4574993","NAMLAJ-0","IB","Inbound"
"2544194","15329VD-2","IB","Inbound"
"494243","AIVNAS-0","IB","Inbound"
"4647860","CULUJL-3","OB","Outbound"
"3895818","YAMGNE-2","IB","Inbound"
"3789980","BASHCS-3","OB","Outbound"
"3041163","8NMIB-7","IB","Inbound"
"4353766","SSOOLO-0","IB","Inbound"
"4302769","CAMRAK-0","IB","Inbound"
"4949778","11429VD-0","IB","Inbound"
"2812983","NASLIK-3","OB","Outbound"
"2644146","GASDIL-7","IB","Inbound"
"3908242","GUHNOJ-2","OB","Outbound"
"2773335","45329VD-1","IB","Inbound"
"3821498","AAJLIN-2","IB","Inbound"
"500622","SAJDAH-1","IB","Inbound"
"3064460","36329VD-4","IB","Inbound"
"3790651","RHCHEK-1","IB","Inbound"
"4558893","IRKHAD-5","OB","Outbound"
"3625166","19329VD-4","IB","Inbound"
"1309187","ONJIB-9","IB","Inbound"
"4417188","EMERYH-7","OB","Outbound"
"2688034","BICPN-3","IB","Inbound"
"3861966","ILEDIV-8","IB","Inbound"
"4442716","IMEGGI-4","OB","Outbound"
"3790714","ASINIL-3","OB","Outbound"
"4098417","61329VD-7","IB","Inbound"
"3790647","AILNEB-4","IB","Inbound"
"3752843","REDSSI-1","IB","Inbound"
"3790334","EDAAMO-9","OB","Outbound"
"495252","CAJHIP-7","OB","Outbound"
"3790456","LINYAS-9","OB","Outbound"
"588408","TEPGAH-8","IB","Inbound"
"3790725","AUGRON-7","OB","Outbound"
"3336681","FLARAP-7","OB","Outbound"
"4215668","00329VD-4","IB","Inbound"
"4004738","JEMSLO-0","OB","Outbound"
"3898935","HSBIB-2","IB","Inbound"
"3789907","NEJLOH-6","IB","Inbound"
"501196","SEDLYB-4","IB","Inbound"
"492350","TAMLEN-1","IB","Inbound"
"3752841","IRFHEB-7","IB","Inbound"
"4644552","44129-8","IB","Inbound"
"903160","NGARON-7","OB","Outbound"
"4558899","RACBER-1","OB","Outbound"
"3789875","NIROTX-5","OB","Outbound"
"4555618","ELBNAS-3","OB","Outbound"
"4966649","ANDDEN-3","PP","Branch Office"
"3939181","REJOYO-7","IB","Inbound"
"499299","EMEROT-5","IB","Inbound"
"4647862","ARDIB-3","IB","Inbound"
"4420425","KULGER-0","IB","Inbound"
"491814","RASEBO-4","PP","Branch Office"
"4334722","SSOOLO-9","IB","Inbound"
"4484440","EMEAVS-4","IB","Inbound"
"4139871","OSOJBX-9","OB","Outbound"
"4558891","IEZHAD-3","OB","Outbound"
"4539456","14229VD-1","IB","Inbound"
"3790639","NEJODA-3","IB","Inbound"
"3908259","UOHIAS-2","OB","Outbound"
"3703466","RYMAHS-0","OB","Outbound"
"4312410","14229VD-5","IB","Inbound"
"3789642","QOMIB-9","IB","Inbound"
"3790517","LEFDAG-2","IB","Inbound"
